what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/CDbColumnSchema.php'.",1340830039575
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/CDbCommandBuilder.php'.",1340830039575
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/CDbCriteria.php'.",1340830039576
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/CDbExpression.php'.",1340830039576
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/CDbSchema.php'.",1340830039577
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/CDbTableSchema.php'.",1340830039577
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mssql/CMssqlColumnSchema.php'.",1340830039578
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mssql/CMssqlCommandBuilder.php'.",1340830039578
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mssql/CMssqlPdoAdapter.php'.",1340830039579
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mssql/CMssqlSchema.php'.",1340830039579
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mssql/CMssqlTableSchema.php'.",1340830039580
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mysql/CMysqlColumnSchema.php'.",1340830039580
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mysql/CMysqlSchema.php'.",1340830039581
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/mysql/CMysqlTableSchema.php'.",1340830039581
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/oci/COciColumnSchema.php'.",1340830039582
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/oci/COciCommandBuilder.php'.",1340830039582
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/oci/COciSchema.php'.",1340830039583
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/oci/COciTableSchema.php'.",1340830039584
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/pgsql/CPgsqlColumnSchema.php'.",1340830039584
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/pgsql/CPgsqlSchema.php'.",1340830039585
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/pgsql/CPgsqlTableSchema.php'.",1340830039585
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/sqlite/CSqliteColumnSchema.php'.",1340830039586
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/sqlite/CSqliteCommandBuilder.php'.",1340830039586
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/db/schema/sqlite/CSqliteSchema.php'.",1340830039587
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/CCodeFile.php'.",1340830039587
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/CCodeForm.php'.",1340830039588
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/CCodeGenerator.php'.",1340830039589
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/CCodeModel.php'.",1340830039589
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/GiiModule.php'.",1340830039590
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Engine/native.php'.",1340830039591
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Engine/shell.php'.",1340830039592
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Engine/string.php'.",1340830039592
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Engine/xdiff.php'.",1340830039593
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Mapped.php'.",1340830039594
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Renderer/context.php'.",1340830039594
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Renderer/inline.php'.",1340830039595
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Renderer/unified.php'.",1340830039595
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/Renderer.php'.",1340830039596
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff/ThreeWay.php'.",1340830039596
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff.php'.",1340830039597
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/Pear/Text/Diff3.php'.",1340830039598
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/TextDiff.php'.",1340830039598
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/components/UserIdentity.php'.",1340830039599
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/controllers/DefaultController.php'.",1340830039599
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/controller/ControllerCode.php'.",1340830039600
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/controller/ControllerGenerator.php'.",1340830039601
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/controller/templates/default/controller.php'.",1340830039601
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/controller/templates/default/view.php'.",1340830039602
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/controller/views/index.php'.",1340830039602
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/CrudCode.php'.",1340830039603
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/CrudGenerator.php'.",1340830039603
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/_form.php'.",1340830039604
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/_search.php'.",1340830039605
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/_view.php'.",1340830039605
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/admin.php'.",1340830039606
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/controller.php'.",1340830039606
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/create.php'.",1340830039607
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/index.php'.",1340830039607
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/update.php'.",1340830039608
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/templates/default/view.php'.",1340830039609
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/crud/views/index.php'.",1340830039610
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/form/FormCode.php'.",1340830039611
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/form/FormGenerator.php'.",1340830039611
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/form/templates/default/action.php'.",1340830039612
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/form/templates/default/form.php'.",1340830039613
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/form/views/index.php'.",1340830039614
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/model/ModelCode.php'.",1340830039614
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/model/ModelGenerator.php'.",1340830039615
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/model/templates/default/model.php'.",1340830039616
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/model/views/index.php'.",1340830039617
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/ModuleCode.php'.",1340830039617
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/ModuleGenerator.php'.",1340830039618
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/components/.yii'.",1340830039618
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/controllers/DefaultController.php'.",1340830039619
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/messages/.yii'.",1340830039619
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/models/.yii'.",1340830039620
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/module.php'.",1340830039621
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/views/default/index.php'.",1340830039621
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/templates/default/views/layouts/.yii'.",1340830039622
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/generators/module/views/index.php'.",1340830039622
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/models/LoginForm.php'.",1340830039623
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/common/code.php'.",1340830039623
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/common/diff.php'.",1340830039624
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/common/generator.php'.",1340830039624
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/default/error.php'.",1340830039625
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/default/index.php'.",1340830039626
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/default/login.php'.",1340830039626
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/layouts/column1.php'.",1340830039627
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/layouts/generator.php'.",1340830039628
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/gii/views/layouts/main.php'.",1340830039628
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/i18n/CChoiceFormat.php'.",1340830039630
