what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.DefaultInvalidImage.txt'.",1340830034045
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.DefaultInvalidImageAlt.txt'.",1340830034045
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.DefaultTextDir.txt'.",1340830034046
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.EnableID.txt'.",1340830034046
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.ForbiddenClasses.txt'.",1340830034047
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.IDBlacklist.txt'.",1340830034048
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.IDBlacklistRegexp.txt'.",1340830034048
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.IDPrefix.txt'.",1340830034049
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/Attr.IDPrefixLocal.txt'.",1340830034050
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.AutoParagraph.txt'.",1340830034050
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.Custom.txt'.",1340830034051
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.DisplayLinkURI.txt'.",1340830034051
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.Linkify.txt'.",1340830034052
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.PurifierLinkify.DocURL.txt'.",1340830034053
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.PurifierLinkify.txt'.",1340830034053
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.RemoveEmpty.RemoveNbsp.Exceptions.txt'.",1340830034054
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.RemoveEmpty.RemoveNbsp.txt'.",1340830034055
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.RemoveEmpty.txt'.",1340830034055
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/AutoFormat.RemoveSpansWithoutAttributes.txt'.",1340830034056
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.AllowImportant.txt'.",1340830034056
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.AllowTricky.txt'.",1340830034057
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.AllowedFonts.txt'.",1340830034058
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.AllowedProperties.txt'.",1340830034058
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.DefinitionRev.txt'.",1340830034059
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.ForbiddenProperties.txt'.",1340830034059
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.MaxImgLength.txt'.",1340830034060
error,log,,,"Resource is out of sync with the file system: '/harvweb/framework/vendors/htmlpurifier/standalone/HTMLPurifier/ConfigSchema/schema/CSS.Proprietary.txt'.",1340830034061
